"
              Spare
            ","
                  Prince Harry, The Duke of Sussex "
"
              I'm Glad My Mom Died
            ","
                  Jennette McCurdy "
"
              Spare
            ","
                Prince Harry, The Duke of Sussex "
"
              I'm Glad My Mom Died
            ","
                Jennette McCurdy "
"
              The Light We Carry
            ","
                  Michelle Obama "
"
              Tastes Like War
            ","
                Grace M. Cho "
"
              Friends, Lovers, and the Big...
            ","
                  Matthew Perry "
"
              Greenlights
            ","
                  Matthew McConaughey "
"
              Cristiano Ronaldo
            ","
                Brianna Battista "
"
              Finding Me
            ","
                  Viola Davis "
"
              Crying in H Mart
            ","
                  Michelle Zauner "
"
              Crying in H Mart
            ","
                Michelle Zauner "
"
              Becoming
            ","
                  Michelle Obama "
"
              All My Knotted-Up Life
            ","
                  Beth Moore "
"
              Maybe You Should Talk to Someone
            ","
                Lori Gottlieb "
"
              Educated
            ","
                  Tara Westover "
"
              The Light We Carry
            ","
                Michelle Obama "
"
              Tiny Beautiful Things
            ","
                  Cheryl Strayed "
"
              Tiny Beautiful Things
            ","
                Cheryl Strayed "
"
              Tastes Like War
            ","
                  Grace M. Cho "
"
              Paris
            ","
                  Paris Hilton "
"
              Friends, Lovers, and the Big...
            ","
                Matthew Perry "
"
              The Storyteller
            ","
                  Dave Grohl "
"
              Untamed
            ","
                  Glennon Doyle "
"
              Becoming Free Indeed
            ","
                  Jinger Vuolo "
"
              Beyond the Wand
            ","
                  Tom Felton "
"
              Educated
            ","
                Tara Westover "
"
              Becoming Free Indeed
            ","
                Jinger Vuolo "
"
              Surrender
            ","
                  Bono "
"
              Paris
            ","
                Paris Hilton "
"
              Love, Pamela
            ","
                  Pamela Anderson "
"
              Born a Crime
            ","
                Trevor Noah "
"
              Neymar
            ","
                Sarah Machajewski "
"
              Man's Search for Meaning
            ","
                  Viktor E. Frankl "
"
              Spare
            ","
                Prince Harry, The Duke of Sussex "
"
              The Glass Castle: a Memoir
            ","
                  Jeannette Walls "
"
              All My Knotted-Up Life
            ","
                Beth Moore "
"
              What My Bones Know
            ","
                  Stephanie Foo "
"
              Solito
            ","
                Javier Zamora "
"
              You Could Make This Place...
            ","
                  Maggie Smith "
"
              A Promised Land
            ","
                  Barack Obama "
"
              Solito
            ","
                  Javier Zamora "
"
              Can't Hurt Me: Master Your...
            ","
                David Goggins "
"
              When Breath Becomes Air
            ","
                  Paul Kalanithi "
"
              The Glass Castle
            ","
                Jeannette Walls "
"
              Empire of Pain
            ","
                  Patrick Radden Keefe "
"
              Taste
            ","
                  Stanley Tucci "
"
              You Could Make This Place...
            ","
                Maggie Smith "
"
              Wild
            ","
                  Cheryl Strayed "
"
              When Breath Becomes Air
            ","
                  Paul Kalanithi "
"
              Know My Name
            ","
                  Chanel Miller "
"
              Extreme Ownership
            ","
                  Jocko Willink "
"
              Hello, Molly!
            ","
                  Molly Shannon "
"
              Finding Me
            ","
                Viola Davis "
"
              Have I Told You This Already?
            ","
                  Lauren Graham "
"
              Greenlights
            ","
                Matthew McConaughey "
"
              Shoe Dog: a Memoir by the...
            ","
                  Phil Knight "
"
              Walk the Blue Line
            ","
                  James Patterson "
"
              I Know Why the Caged Bird Sings
            ","
                  Maya Angelou "
"
              Ducks
            ","
                Kate Beaton "
"
              And There Was Light
            ","
                  Jon Meacham "
"
              Master Slave Husband Wife: an...
            ","
                Ilyon Woo "
"
              John Cena
            ","
                Tammy Gagne "
"
              Bad Mormon
            ","
                  Heather Gay "
"
              The Splendid and the Vile
            ","
                  Erik Larson "
"
              Stay True
            ","
                Hua Hsu "
"
              Dinners with Ruth
            ","
                  Nina Totenberg "
"
              It. Goes. So. Fast.
            ","
                  Mary Louise Kelly "
"
              How to Change Your Mind
            ","
                  Michael Pollan "
"
              The Best Strangers in the World
            ","
                  Ari Shapiro "
"
              Love, Pamela
            ","
                Pamela Anderson "
"
              Tell Me Everything
            ","
                  Minka Kelly "
"
              All Creatures Great and Small
            ","
                  Christopher Timothy "
"
              Untamed
            ","
                Glennon Doyle "
"
              Enchantment
            ","
                  Katherine May "
"
              The Daddy Diaries
            ","
                  Andy Cohen "
"
              The Nazi Conspiracy
            ","
                  Brad Meltzer "
"
              Bossypants
            ","
                  Tina Fey "
"
              What My Bones Know
            ","
                Stephanie Foo "
"
              Between Two Kingdoms
            ","
                  Suleika Jaouad "
"
              Stay True
            ","
                  Hua Hsu "
"
              Kitchen Confidential
            ","
                  Anthony Bourdain "
