Title,Author
Spare,"Prince Harry, The Duke of Sussex Author
                  Prince Harry, The Duke of Sussex Narrator
(2023)"
I'm Glad My Mom Died,"Jennette McCurdy Author
                  Jennette McCurdy Narrator
(2022)"
Spare,"Prince Harry, The Duke of Sussex Author
(2023)"
I'm Glad My Mom Died,"Jennette McCurdy Author
(2022)"
The Light We Carry,"Michelle Obama Author
                  Michelle Obama Narrator
(2022)"
Tastes Like War,"Grace M. Cho Author
(2021)"
"Friends, Lovers, and the Big...","Matthew Perry Author
                  Matthew Perry Narrator
(2022)"
Greenlights,"Matthew McConaughey Author
                  Matthew McConaughey Narrator
(2020)"
Cristiano Ronaldo,"Brianna Battista Author
(2018)"
Finding Me,"Viola Davis Author
                  Viola Davis Narrator
(2022)"
Crying in H Mart,"Michelle Zauner Author
                  Michelle Zauner Narrator
(2021)"
Crying in H Mart,"Michelle Zauner Author
(2021)"
Becoming,"Michelle Obama Author
                  Michelle Obama Narrator
(2018)"
All My Knotted-Up Life,"Beth Moore Author
                  Beth Moore Narrator
(2023)"
Maybe You Should Talk to Someone,"Lori Gottlieb Author
(2019)"
Educated,"Tara Westover Author
                  Julia Whelan Narrator
(2018)"
The Light We Carry,"Michelle Obama Author
(2022)"
Tiny Beautiful Things,"Cheryl Strayed Author
                  Cheryl Strayed Narrator
(2012)"
Tiny Beautiful Things,"Cheryl Strayed Author
(2012)"
Tastes Like War,"Grace M. Cho Author
                  Cindy Kay Narrator
(2021)"
Paris,"Paris Hilton Author
                  Paris Hilton Narrator
(2023)"
"Friends, Lovers, and the Big...","Matthew Perry Author
(2022)"
The Storyteller,"Dave Grohl Author
                  Dave Grohl Narrator
(2021)"
Untamed,"Glennon Doyle Author
                  Glennon Doyle Narrator
(2020)"
Becoming Free Indeed,"Jinger Vuolo Author
                  Corey Williams Author
(2023)"
Beyond the Wand,"Tom Felton Author
                  Tom Felton Narrator
(2022)"
Educated,"Tara Westover Author
(2018)"
Becoming Free Indeed,"Jinger Vuolo Author
(2023)"
Surrender,"Bono Author
                  Bono Narrator
(2022)"
Paris,"Paris Hilton Author
(2023)"
"Love, Pamela","Pamela Anderson Author
                  Pamela Anderson Narrator
(2023)"
Born a Crime,"Trevor Noah Author
(2016)"
Neymar,"Sarah Machajewski Author
(2018)"
Man's Search for Meaning,"Viktor E. Frankl Author
                  Simon Vance Narrator
(2010)"
Spare,"Prince Harry, The Duke of Sussex Author
(2023)"
The Glass Castle: a Memoir,"Jeannette Walls Author
                  Jeannette Walls Narrator
(2010)"
All My Knotted-Up Life,"Beth Moore Author
(2023)"
What My Bones Know,"Stephanie Foo Author
                  Stephanie Foo Narrator
(2022)"
Solito,"Javier Zamora Author
(2022)"
You Could Make This Place...,"Maggie Smith Author
                  Maggie Smith Narrator
(2023)"
A Promised Land,"Barack Obama Author
                  Barack Obama Narrator
(2020)"
Solito,"Javier Zamora Author
                  Javier Zamora Narrator
(2022)"
Can't Hurt Me: Master Your...,"David Goggins Author
(2018)"
When Breath Becomes Air,"Paul Kalanithi Author
                  Abraham Verghese Author of introduction, etc.
(2016)"
The Glass Castle,"Jeannette Walls Author
(2006)"
Empire of Pain,"Patrick Radden Keefe Author
                  Patrick Radden Keefe Narrator
(2021)"
Taste,"Stanley Tucci Author
                  Stanley Tucci Narrator
(2021)"
You Could Make This Place...,"Maggie Smith Author
(2023)"
Wild,"Cheryl Strayed Author
                  Bernadette Dunne Narrator
(2012)"
When Breath Becomes Air,"Paul Kalanithi Author
                  Abraham Verghese Author of introduction, etc.
(2016)"
Know My Name,"Chanel Miller Author
                  Chanel Miller Narrator
(2019)"
Extreme Ownership,"Jocko Willink Author
                  Jocko Willink Narrator
(2015)"
"Hello, Molly!","Molly Shannon Author
                  Sean Wilsey Author
(2022)"
Finding Me,"Viola Davis Author
(2022)"
Have I Told You This Already?,"Lauren Graham Author
                  Lauren Graham Narrator
(2022)"
Greenlights,"Matthew McConaughey Author
(2020)"
Shoe Dog: a Memoir by the...,"Phil Knight Author
                  Norbert Leo Butz Narrator
(2016)"
Walk the Blue Line,"James Patterson Author
                  Matt Eversmann Author
(2023)"
I Know Why the Caged Bird Sings,"Maya Angelou Author
                  Maya Angelou Narrator
(2011)"
